GEOID,NAME,variable,estimate,moe
0650258,"Napa city, California",B01003_001,79233,59
0616322,"Corning city, California",B01003_001,8196,23
0660242,"Reedley city, California",B01003_001,25248,32
0614890,"Colton city, California",B01003_001,53959,61
0628168,"Gardena city, California",B01003_001,60377,53
0644574,"Lynwood city, California",B01003_001,66346,47
0662644,"Rolling Hills Estates city, California",B01003_001,8214,29
0684606,"Westmorland city, California",B01003_001,2010,587
0655618,"Paramount city, California",B01003_001,53255,44
0672520,"Soledad city, California",B01003_001,24781,27
0639220,"Laguna Hills city, California",B01003_001,31170,45
0618394,"Delano city, California",B01003_001,50498,28
0646492,"Maywood city, California",B01003_001,25009,33
0640830,"La Verne city, California",B01003_001,31239,79
0642468,"Lomita city, California",B01003_001,20662,36
0622300,"El Paso de Robles (Paso Robles) city, California",B01003_001,31595,49
0601640,"American Canyon city, California",B01003_001,21669,33
0681134,"Ukiah city, California",B01003_001,16496,24
0662602,"Rolling Hills city, California",B01003_001,1451,223
0617946,"Dana Point city, California",B01003_001,33025,45
0646870,"Menlo Park city, California",B01003_001,33324,43
0608954,"Burbank city, California",B01003_001,106389,43
0682590,"Victorville city, California",B01003_001,134417,67
0620018,"Dublin city, California",B01003_001,71068,100
0654386,"Oroville city, California",B01003_001,20283,40
0611530,"Carson city, California",B01003_001,94475,120
0670042,"Santa Paula city, California",B01003_001,30788,33
0603204,"Auburn city, California",B01003_001,13773,45
0624134,"Firebaugh city, California",B01003_001,8139,19
0600947,"Aliso Viejo city, California",B01003_001,51896,75
0671362,"Shell Ridge CDP, California",B01003_001,1041,360
0671927,"Silverado Resort CDP, California",B01003_001,1012,275
0617162,"Crestline CDP, California",B01003_001,9335,1390
0658471,"Potomac Park CDP, California",B01003_001,10697,1603
0641180,"Lennox CDP, California",B01003_001,20687,1601
0631596,"Hacienda Heights CDP, California",B01003_001,55461,2269
0640426,"Larkfield-Wikiup CDP, California",B01003_001,7688,1092
0612734,"Charter Oak CDP, California",B01003_001,9335,834
0636420,"Indianola CDP, California",B01003_001,717,196
0601276,"Alta CDP, California",B01003_001,652,228
0674130,"Stevenson Ranch CDP, California",B01003_001,20484,1874
0639045,"La Crescenta-Montrose CDP, California",B01003_001,20092,1534
0609990,"Calpella CDP, California",B01003_001,674,338
0677430,"Swall Meadows CDP, California",B01003_001,365,194
0612314,"Cedar Slope CDP, California",B01003_001,0,13
0670728,"Searles Valley CDP, California",B01003_001,1716,308
0614454,"Cold Springs CDP (Tuolumne County), California",B01003_001,16,26
0676040,"Sunny Slopes CDP, California",B01003_001,66,57
0620574,"Eastern Goleta Valley CDP, California",B01003_001,29563,1293
0648718,"Montalvin Manor CDP, California",B01003_001,2195,519
0682667,"View Park-Windsor Hills CDP, California",B01003_001,11999,1378
0634652,"Hopland CDP, California",B01003_001,1025,317
0663218,"Rowland Heights CDP, California",B01003_001,47209,2157
0638548,"Kings Beach CDP, California",B01003_001,2589,542
0630282,"Golden Hills CDP, California",B01003_001,9892,1593
0602294,"Anza CDP, California",B01003_001,1959,558
0640526,"Las Flores CDP (Orange County), California",B01003_001,5757,941
0656140,"Patton Village CDP, California",B01003_001,792,259
0671246,"Shaver Lake CDP, California",B01003_001,306,103
0639570,"Lake Isabella CDP, California",B01003_001,3514,986
0604478,"Bayview CDP (Humboldt County), California",B01003_001,2719,545
0657302,"Piñon Hills CDP, California",B01003_001,7157,966
0613560,"Citrus CDP, California",B01003_001,10979,1118
0624722,"Foothill Farms CDP, California",B01003_001,37635,2016
0683085,"Vista Santa Rosa CDP, California",B01003_001,2269,487
0601290,"Altadena CDP, California",B01003_001,42719,1909
0613784,"Clarksburg CDP, California",B01003_001,302,215
0645806,"Marina del Rey CDP, California",B01003_001,10274,1385
0609318,"Butte Meadows CDP, California",B01003_001,0,13
0681652,"Vallecito CDP, California",B01003_001,213,124
0636658,"Inyokern CDP, California",B01003_001,922,274
0637120,"Jamul CDP, California",B01003_001,6018,961
0664294,"Salton City CDP, California",B01003_001,6202,928
0683570,"Washington CDP, California",B01003_001,117,139
0613278,"Choctaw Valley CDP, California",B01003_001,56,73
0645120,"Magalia CDP, California",B01003_001,9245,1117
0656870,"Phoenix Lake CDP, California",B01003_001,4377,722
0604926,"Bella Vista CDP, California",B01003_001,3955,657
0642524,"Lompoc city, California",B01003_001,44086,83
0613756,"Claremont city, California",B01003_001,36891,66
0643280,"Los Altos city, California",B01003_001,31133,47
0600394,"Agoura Hills city, California",B01003_001,20088,28
0619192,"Diamond Bar city, California",B01003_001,54534,67
0685012,"Wheatland city, California",B01003_001,3702,17
0603274,"Avalon city, California",B01003_001,3441,16
0654848,"Pacific Grove city, California",B01003_001,15098,97
0673962,"Stanton city, California",B01003_001,38271,95
0613214,"Chino Hills city, California",B01003_001,78223,84
0604982,"Bellflower city, California",B01003_001,78352,59
0651812,"North Edwards CDP, California",B01003_001,1086,312
0607316,"Bolinas CDP, California",B01003_001,1280,303
0681736,"Valley Center CDP, California",B01003_001,10929,1533
0641558,"Lincoln Village CDP, California",B01003_001,4508,605
0616580,"Coto de Caza CDP, California",B01003_001,15632,1273
0671554,"Shingle Springs CDP, California",B01003_001,3703,645
0682786,"Vina CDP, California",B01003_001,270,106
0636098,"Hyampom CDP, California",B01003_001,328,197
0600618,"Alamo CDP, California",B01003_001,14355,1132
0612415,"Centerville CDP (Shasta County), California",B01003_001,2204,311
0602210,"Antelope CDP, California",B01003_001,47629,2072
0610508,"Campo CDP, California",B01003_001,3468,774
0622587,"Emerald Lake Hills CDP, California",B01003_001,4425,558
0663386,"Ruth CDP, California",B01003_001,151,89
0630476,"Goshen CDP, California",B01003_001,4974,1020
0642412,"Loma Rica CDP, California",B01003_001,2605,712
0686230,"Woodbridge CDP, California",B01003_001,3870,811
0624022,"Fields Landing CDP, California",B01003_001,629,662
0608240,"Bridgeport CDP, California",B01003_001,408,249
0645680,"March ARB CDP, California",B01003_001,1175,358
0642510,"Lompico CDP, California",B01003_001,911,241
0647164,"Mettler CDP, California",B01003_001,122,72
0663400,"Rutherford CDP, California",B01003_001,115,90
0639696,"Lake of the Woods CDP, California",B01003_001,729,326
0638177,"Kep'el CDP, California",B01003_001,19,21
0675122,"Stones Landing CDP, California",B01003_001,144,99
0611964,"Castro Valley CDP, California",B01003_001,65444,1754
0653574,"Old River CDP, California",B01003_001,106,230
0607274,"Bodfish CDP, California",B01003_001,2320,764
0603330,"Avila Beach CDP, California",B01003_001,1599,572
0684592,"Westmont CDP, California",B01003_001,35345,2064
0639612,"Lake Los Angeles CDP, California",B01003_001,13097,1310
0637134,"Janesville CDP, California",B01003_001,2641,398
0605332,"Ben Lomond CDP, California",B01003_001,7247,1034
0651294,"Nice CDP, California",B01003_001,2389,625
0624834,"Foresthill CDP, California",B01003_001,1178,564
0677378,"Sutter CDP, California",B01003_001,2848,346
0651028,"New Cuyama CDP, California",B01003_001,669,153
0646100,"Martell CDP, California",B01003_001,219,166
0617722,"Cutten CDP, California",B01003_001,3309,766
0680364,"Tres Pinos CDP, California",B01003_001,1006,283
0636252,"Igo CDP, California",B01003_001,95,98
0620284,"Dustin Acres CDP, California",B01003_001,529,184
0678792,"Tobin CDP, California",B01003_001,0,13
0646926,"Meridian CDP, California",B01003_001,376,127
0680952,"Twain CDP, California",B01003_001,319,282
0639283,"Lagunitas-Forest Knolls CDP, California",B01003_001,1747,403
0614008,"Cleone CDP, California",B01003_001,774,341
0637274,"Jenner CDP, California",B01003_001,16,24
0616434,"Corralitos CDP, California",B01003_001,2154,592
0647013,"Mesa CDP, California",B01003_001,374,139
0663302,"Rumsey CDP, California",B01003_001,131,138
0631246,"Grenada CDP, California",B01003_001,230,107
0631883,"Hamilton Branch CDP, California",B01003_001,454,131
0662854,"Rosedale CDP, California",B01003_001,19174,1533
0639052,"La Cresta CDP, California",B01003_001,8468,1133
0672282,"Smartsville CDP, California",B01003_001,379,291
0624526,"Floriston CDP, California",B01003_001,23,26
0655528,"Paradise CDP, California",B01003_001,183,105
0619155,"Diablo Grande CDP, California",B01003_001,1257,290
0647472,"Milford CDP, California",B01003_001,0,13
0668112,"San Lorenzo CDP, California",B01003_001,29759,1504
0609360,"Cabazon CDP, California",B01003_001,1946,628
0637582,"Julian CDP, California",B01003_001,1377,416
0680896,"Tuttletown CDP, California",B01003_001,946,573
0637946,"Keene CDP, California",B01003_001,404,153
0650034,"Murphys CDP, California",B01003_001,2022,428
0645414,"Manila CDP, California",B01003_001,663,155
0663050,"Rossmoor CDP, California",B01003_001,11742,1180
0627130,"Fruitridge Pocket CDP, California",B01003_001,5596,925
0647430,"Midway City CDP, California",B01003_001,8032,1349
0684116,"West Athens CDP, California",B01003_001,9131,1124
0637554,"Joshua Tree CDP, California",B01003_001,6751,947
0607525,"Bootjack CDP, California",B01003_001,337,170
0639759,"Lakeside CDP (Kern County), California",B01003_001,1405,625
0651000,"Newcastle CDP, California",B01003_001,1501,410
0609122,"Burney CDP, California",B01003_001,3186,475
0651840,"North Fair Oaks CDP, California",B01003_001,13718,1404
0600310,"Adin CDP, California",B01003_001,97,96
0653602,"Old Station CDP, California",B01003_001,0,13
0602770,"Arnold CDP, California",B01003_001,1866,359
0681638,"Valinda CDP, California",B01003_001,21952,2068
0602910,"Artois CDP, California",B01003_001,248,140
0684578,"West Modesto CDP, California",B01003_001,5438,1046
0622457,"El Sobrante CDP (Riverside County), California",B01003_001,12127,1374
0651470,"Nipinnawasee CDP, California",B01003_001,341,225
0621188,"East Sonora CDP, California",B01003_001,2664,457
0636350,"Independence CDP, California",B01003_001,850,205
0659604,"Rancho Tehama Reserve CDP, California",B01003_001,793,369
0638772,"Knightsen CDP, California",B01003_001,1646,591
0606210,"Bethel Island CDP, California",B01003_001,1993,650
0618674,"Del Rey CDP, California",B01003_001,1491,372
0634405,"Homewood Canyon CDP, California",B01003_001,224,198
0611166,"Caribou CDP, California",B01003_001,0,13
0681048,"Twin Lakes CDP (Mono County), California",B01003_001,87,120
0668084,"San Leandro city, California",B01003_001,89723,51
0636672,"Ione city, California",B01003_001,5364,17
0670028,"Santa Nella CDP, California",B01003_001,2055,815
0658422,"Posey CDP, California",B01003_001,0,13
0639122,"Lafayette city, California",B01003_001,25310,33
0604772,"Beckwourth CDP, California",B01003_001,457,322
0646114,"Martinez city, California",B01003_001,37093,58
0654232,"Orinda city, California",B01003_001,19477,31
0657288,"Pinole city, California",B01003_001,18946,34
0671372,"Shelter Cove CDP, California",B01003_001,500,220
0614450,"Cold Springs CDP (El Dorado County), California",B01003_001,612,288
0671848,"Sierraville CDP, California",B01003_001,227,132
0612930,"Chester CDP, California",B01003_001,2271,358
0686916,"Yosemite West CDP, California",B01003_001,29,31
