TRI_FACILITY_ID,ENVIRONMENTAL_MEDIUM,TOTAL_RELEASE,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,PREF_LATITUDE,PREF_LONGITUDE
75235JNSBL2728E,AIR FUG,4029.5069,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7521WDLLSP2935W,AIR STACK,.0033,DALLAS PLANT,2935 W COMMERCE ST,DALLAS,DALLAS,TX,,
75215MRTNF2944O,AIR STACK,242.54,MARTIN SPROCKET & GEAR INC,2944 OAK LN,DALLAS,DALLAS,TX,32.776318,96.773339
75235JNSBL2728E,AIR STACK,12.5827,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75235JNSBL2728E,AIR STACK,19.5868,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75235JNSBL2728E,AIR STACK,9.1182,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7522WTXSPN161SP,AIR STACK,.024,TXI-SPANGLER ROAD READY MIX,10610 SPANGLER RD,DALLAS,DALLAS,TX,,
75220RYLCH2851R,AIR STACK,35,ROYAL CHEMICAL CO,2851 REWARD LN,DALLAS,DALLAS,TX,,
75220RYLCH2851R,AIR STACK,1,ROYAL CHEMICAL CO,2851 REWARD LN,DALLAS,DALLAS,TX,,
75243RYTHN13510,AIR STACK,1.6,RAYTHEON CO,13510 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,,
75227MSTRH8431H,WATER,43.11,MASTER-HALCO,8431 HOYLE AVE,DALLAS,DALLAS,TX,,
75235JNSBL2728E,AIR FUG,1308.0653,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75235JNSBL2728E,AIR FUG,12.22,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7521WTHRML351WC,AIR FUG,.04,THERMAL SOLUTIONS MANUFACTURING INC.,3051 W. COMMERCE STREET,DALLAS,DALLAS,TX,,
75229GHHNS2108J,AIR FUG,652,HENSLEY INDUSTRIES INC,2108 JOE FIELD RD,DALLAS,DALLAS,TX,32.883333,96.908333
75229GHHNS2108J,AIR FUG,2834,HENSLEY INDUSTRIES INC,2108 JOE FIELD RD,DALLAS,DALLAS,TX,32.883333,96.908333
7522WNDLLS118LU,AIR STACK,.0019,REDI-MIX - NORTH DALLAS,11080 LUNA RD,DALLAS,DALLAS,TX,,
75243TXSNS13500,AIR STACK,6351,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.929167,96.7625
75247NTDST255RE,AIR STACK,.03,US GYPSUM CO,255 REGAL ROW,DALLAS,DALLAS,TX,32.817778,96.916111
75236PRCCH4722B,AIR STACK,362,TNPC DALLAS FACILITY,4722 BRONZE WAY,DALLAS,DALLAS,TX,32.686944,96.898611
75235JNSBL2728E,AIR STACK,.0031,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75235JNSBL2728E,AIR STACK,8.7058,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75235JNSBL2728E,AIR STACK,80.5191,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
7522WTXSPN161SP,WATER,.19,TXI-SPANGLER ROAD READY MIX,10610 SPANGLER RD,DALLAS,DALLAS,TX,,
75247MFCNC16REG,AIR FUG,.2547,EMF CO INC,106 REGAL ROW,DALLAS,DALLAS,TX,,
75247MFCNC16REG,AIR FUG,.5406,EMF CO INC,106 REGAL ROW,DALLAS,DALLAS,TX,,
75227MSTRH8431H,AIR FUG,.001,MASTER-HALCO,8431 HOYLE AVE,DALLAS,DALLAS,TX,,
7521WDLLSP2935W,AIR FUG,.0013,DALLAS PLANT,2935 W COMMERCE ST,DALLAS,DALLAS,TX,,
75215MRTNF2944O,AIR FUG,11.05,MARTIN SPROCKET & GEAR INC,2944 OAK LN,DALLAS,DALLAS,TX,32.776318,96.773339
75235JNSBL2728E,AIR FUG,572.6309,JONES-BLAIR CO,2728 EMPIRE CENTRAL,DALLAS,DALLAS,TX,32.8325,96.845556
75207BCKLY1809R,AIR FUG,250,BUCKLEY OIL CO - DALLAS FACILITY,1809 ROCK ISLAND ST,DALLAS,DALLAS,TX,,
75243TXSNS13500,AIR STACK,341,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPRESSWAY,DALLAS,DALLAS,TX,32.929167,96.7625
